ID	QuestionBody	Sentence	targetMovie	targetContext	targetSearch	targetSocial	segmentedSentence	hedging	opinionEmotion	absoluteRelative	flaggedContent	notes	threadURL	wikipediaURL	imdbURL
1058-1	i remember watchig this movie back in the 90s in english this boy and a man was running from something. it seemed like a horror movie. only scene i can recal in my head is the man and boy was in a house or shed and these sharp eyeball looking things but were metal and had blades on the side that were trying to kill them. the blades went after the boy i think and he ducked and it went onto the door and got stuck.	i remember watchig this movie back in the 90s in english this boy and a man was running from something.	scene // character // category // originLanguage	contextTemporal				hedgingConfident	none	absolute			https://irememberthismovie.com/0s-movie-with-man-and-boy/	https://en.wikipedia.org/wiki/Phantasm_(film)	
1058-2	i remember watchig this movie back in the 90s in english this boy and a man was running from something. it seemed like a horror movie. only scene i can recal in my head is the man and boy was in a house or shed and these sharp eyeball looking things but were metal and had blades on the side that were trying to kill them. the blades went after the boy i think and he ducked and it went onto the door and got stuck.	it seemed like a horror movie.	genreTraditionalTone // category					hedgingConfident	none	absolute			https://irememberthismovie.com/0s-movie-with-man-and-boy/	https://en.wikipedia.org/wiki/Phantasm_(film)	
1058-3	i remember watchig this movie back in the 90s in english this boy and a man was running from something. it seemed like a horror movie. only scene i can recal in my head is the man and boy was in a house or shed and these sharp eyeball looking things but were metal and had blades on the side that were trying to kill them. the blades went after the boy i think and he ducked and it went onto the door and got stuck.	only scene i can recal in my head is the man and boy was in a house or shed and these sharp eyeball looking things but were metal and had blades on the side that were trying to kill them.	scene // character // locationType // object					neutral	none	absolute			https://irememberthismovie.com/0s-movie-with-man-and-boy/	https://en.wikipedia.org/wiki/Phantasm_(film)	
1058-4	i remember watchig this movie back in the 90s in english this boy and a man was running from something. it seemed like a horror movie. only scene i can recal in my head is the man and boy was in a house or shed and these sharp eyeball looking things but were metal and had blades on the side that were trying to kill them. the blades went after the boy i think and he ducked and it went onto the door and got stuck.	the blades went after the boy i think and he ducked and it went onto the door and got stuck.	scene // character // object					hedgingConfident	none	absolute			https://irememberthismovie.com/0s-movie-with-man-and-boy/	https://en.wikipedia.org/wiki/Phantasm_(film)	
304-1	"A movie I saw on tv a while ago about a few girls, maybe siblings or siblings and friends, who perform a witchy ritual in the woods (i thinkk they were naked) and 1 or maybe 2 girls fell into a coma. i remember that she was in her bed in an attic room as well. I dont remember if it was american or british but it was in english. it was a fairly recent movie, i think maybe 2000s but not before 1995 at least. please help i really want to watch this movie !"	"A movie I saw on tv a while ago about a few girls, maybe siblings or siblings and friends, who perform a witchy ritual in the woods (i thinkk they were naked) and 1 or maybe 2 girls fell into a coma."	category // plot // scene // character // locationType	contextPhysicalMedium				neutral	none	absolute			https://irememberthismovie.com/15-1600s-witch-movie/	https://en.wikipedia.org/wiki/The_Crucible_(1996_film)	
304-2	"A movie I saw on tv a while ago about a few girls, maybe siblings or siblings and friends, who perform a witchy ritual in the woods (i thinkk they were naked) and 1 or maybe 2 girls fell into a coma. i remember that she was in her bed in an attic room as well. I dont remember if it was american or british but it was in english. it was a fairly recent movie, i think maybe 2000s but not before 1995 at least. please help i really want to watch this movie !"	i remember that she was in her bed in an attic room as well.	scene // character // locationType // object					neutral	none	absolute			https://irememberthismovie.com/15-1600s-witch-movie/	https://en.wikipedia.org/wiki/The_Crucible_(1996_film)	
304-3	"A movie I saw on tv a while ago about a few girls, maybe siblings or siblings and friends, who perform a witchy ritual in the woods (i thinkk they were naked) and 1 or maybe 2 girls fell into a coma. i remember that she was in her bed in an attic room as well. I dont remember if it was american or british but it was in english. it was a fairly recent movie, i think maybe 2000s but not before 1995 at least. please help i really want to watch this movie !"	I dont remember if it was american or british but it was in english.	originMovie // originLanguage					hedgingConfident	none	absolute			https://irememberthismovie.com/15-1600s-witch-movie/	https://en.wikipedia.org/wiki/The_Crucible_(1996_film)	
304-4	"A movie I saw on tv a while ago about a few girls, maybe siblings or siblings and friends, who perform a witchy ritual in the woods (i thinkk they were naked) and 1 or maybe 2 girls fell into a coma. i remember that she was in her bed in an attic room as well. I dont remember if it was american or british but it was in english. it was a fairly recent movie, i think maybe 2000s but not before 1995 at least. please help i really want to watch this movie !"	"it was a fairly recent movie, i think maybe 2000s but not before 1995 at least."	releaseDate // category					hedgingConfident	none	absolute			https://irememberthismovie.com/15-1600s-witch-movie/	https://en.wikipedia.org/wiki/The_Crucible_(1996_film)	
304-5	"A movie I saw on tv a while ago about a few girls, maybe siblings or siblings and friends, who perform a witchy ritual in the woods (i thinkk they were naked) and 1 or maybe 2 girls fell into a coma. i remember that she was in her bed in an attic room as well. I dont remember if it was american or british but it was in english. it was a fairly recent movie, i think maybe 2000s but not before 1995 at least. please help i really want to watch this movie !"	please help i really want to watch this movie !	category					neutral	none	relative			https://irememberthismovie.com/15-1600s-witch-movie/	https://en.wikipedia.org/wiki/The_Crucible_(1996_film)	
831-1	I had read in a movie review that the movie Run Lola Run was similar to the idea explored in another (possibly French) movie that showed 16 different storylines based on a decision to light a cigarette.	I had read in a movie review that the movie Run Lola Run was similar to the idea explored in another (possibly French) movie that showed 16 different storylines based on a decision to light a cigarette.	plot // category // object // originMovie	contextCrossMedia				hedgingConfident	none	relative			https://irememberthismovie.com/16-different-alternative-storylines-to-a-decision-to-light-a-cigarette-similar-idea-to-run-lola-run/	http://en.wikipedia.org/wiki/Smoking/No_Smoking	https://www.imdb.com/title/tt0108167/
